Type,Content
H5,Unleashing the power of an updated e-commerce platform
H5,Getting most out of a founding round by looking 10x bigger
H5,New in-store ordering experience for a global brand
H5,"Securing EU funding for market expansion, fast!"
H5,Home brokerâs personal brand built on vision and courage
H5,LetâsdiscusshowIcanaddvaluetoyourbusiness.
H5,Agency-level designsfor less than the cost of a full-time designer.
H5,Agency-level designsfor less than the cost of a full-time designer.
H5,Home brokerâs personal brand built on vision and courage
H5,"Securing EU funding for market expansion, fast!"
H5,Getting most out of a founding round by looking 10x bigger
H5,New in-store ordering experience for a global brand
H5,Unleashing the power of an updated e-commerce platform
H6,"Get a tailored design solution in weeks, not months. â¨â¨Make your clients see the true value of your offer."
H6,"Get a tailored design solution in weeks, not months. â¨â¨Make your clients see the true value of your offer."
H6,"Get a tailored design solution in weeks, not months.Make your clients see the true value of your offer."
H6,"Whether you need a full brand package or just a specific deliverable,Iâll adapt the process to fit your requirements and budget."
H6,Start up by building a solid early-stage brand in 4 weeks.
H6,Use brand assets straight from an editable & functional Figma file.
H6,Get a tailor-made visual identity package and use it right away.
H6,Kick-off
H6,Workshop
H6,Create
H6,Delivery
H6,/Brands
H6,/Agencies
H6,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time."
H6,"Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth."
H6,"We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable."
H6,"Working with Magda is an absolute pleasureâshe'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths."
H6,I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.
H6,"Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals."
H6,"We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable."
H6,"Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals."
H6,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time."
H6,"Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth."
H6,I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.
H6,"Working with Magda is an absolute pleasureâshe'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths."
H6,Who is the designer?
H6,Who is the designer?
H6,Who is the designer?
H6,Why wouldn't I just hire an agency or a full-time designer?
H6,How much does it cost to work with you? Is there a minimum budget?
H6,What does your design process look like?
H6,What sets my design approach apart from other freelance designers?
H6,Why wouldn't I just hire an agency or a full-time designer?
H6,How much does it cost to work with you? Is there a minimum budget?
H6,What does your design process look like?
H6,What sets my design approach apart from other freelance designers?
Paragraph,Let's Talk
Paragraph,Let's Talk
Paragraph,Awards & Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,View Projects
Paragraph,or
Paragraph,Explore Services
Paragraph,View Projects
Paragraph,or
Paragraph,Explore Services
Paragraph,View Projects
Paragraph,or
Paragraph,Explore Services
Paragraph,Recognition
Paragraph,Awards & Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Awards & Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Awards & Recognition
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,4 Ã
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 Ã
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 Ã
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Book a 30-min intro call
Paragraph,Book a 30-min intro call
Paragraph,"rebranding, website redesign, UI direction"
Paragraph,weeks for new UI design concept
Paragraph,"master designs 
for IdoSell Team"
Paragraph,"Rebranding, Copywriting, Pitch deck"
Paragraph,weeks for rebranding
Paragraph,of funding collected subsequently
Paragraph,"UX/UI design, Icon Design, prototyping"
Paragraph,complete ordering process designed
Paragraph,screens designed for developement
Paragraph,"rebranding, website redesign, icon design"
Paragraph,"weeks for logo 
& key visual"
Paragraph,of secured EU funding
Paragraph,"Naming, logo, Branding, Website Design, social media"
Paragraph,"brand built 
from scratch"
Paragraph,"weeks for naming 
& branding"
Paragraph,"rebranding, website redesign, UI direction"
Paragraph,weeks for new UI design concept
Paragraph,"master designs 
for IdoSell Team"
Paragraph,"Rebranding, Copywriting, Pitch deck"
Paragraph,weeks for rebranding
Paragraph,of funding collected subsequently
Paragraph,"UX/UI design, Icon Design, prototyping"
Paragraph,complete ordering process designed
Paragraph,screens designed for developement
Paragraph,"rebranding, website redesign, icon design"
Paragraph,"weeks for logo 
& key visual"
Paragraph,of secured EU funding
Paragraph,"Naming, logo, Branding, Website Design, social media"
Paragraph,"brand built 
from scratch"
Paragraph,"weeks for naming 
& branding"
Paragraph,"Branding, website redesign, UI direction"
Paragraph,weeks for new UI design concept
Paragraph,"master designs 
for IdoSell Team"
Paragraph,"Rebranding, Copywriting, Pitch deck"
Paragraph,weeks for rebranding
Paragraph,of funding collected subsequently
Paragraph,"UX/UI design, Icon Design, prototyping"
Paragraph,complete ordering process designed
Paragraph,screens designed for developement
Paragraph,"rebranding, website redesign, icon design"
Paragraph,"weeks for logo 
& key visual"
Paragraph,of secured EU funding
Paragraph,"Naming, Branding, Website Design, social media"
Paragraph,"brand built 
from scratch"
Paragraph,"weeks for naming 
& branding"
Paragraph,Book a 30-min call with
Paragraph,Magda
Paragraph,Book a 30-min call with
Paragraph,Magda
Paragraph,Book a 30-min call with
Paragraph,Magda
Paragraph,For inventors & founders
Paragraph,Bring ideas to life with designs that drive results.
Paragraph,"Maximize business potential through strategic, user-centered design."
Paragraph,Move seamlessly from concept to MVP and scalable products.
Paragraph,For established companies
Paragraph,Refresh & relaunch existing product.
Paragraph,Design support for both long-term strategies and urgent needs.
Paragraph,Cross-platform solutions from web to print.
Paragraph,FOR YOUNG START-UPS
Paragraph,4 weeks
Paragraph,Book a free intro call
Paragraph,Book a free call
Paragraph,It all begins with a no-stress chat to discuss your goals.
Paragraph,01
Paragraph,Kick-off
Paragraph,It all begins with a no-stress chat to discuss your goals.
Paragraph,I analyse your brand and plan a custom roadmap. We define a design solution that has best value for you.
Paragraph,02
Paragraph,Workshop
Paragraph,I analyse your brand and plan a custom roadmap. We define a design solution that has best value for you.
Paragraph,Time to design and ask for feedback. I lock in and work.
Paragraph,03
Paragraph,Create
Paragraph,Time to design and ask for feedback. I lock in and work.
Paragraph,Your priority brand asset ready for immediate use.
Paragraph,Logo
Paragraph,key visual
Paragraph,Web design
Paragraph,Landing Pages
Paragraph,No-code web development
Paragraph,Pitch Decks
Paragraph,Brand Guides
Paragraph,Design Audit
Paragraph,Editorial Design
Paragraph,Design Systems
Paragraph,Icons
Paragraph,Social Media
Paragraph,Print Materials
Paragraph,Naming
Paragraph,Copywriting
Paragraph,04
Paragraph,Delivery
Paragraph,Your priority brand asset ready for immediate use.
Paragraph,Design Audit
Paragraph,Editorial Design
Paragraph,Design Systems
Paragraph,Icons
Paragraph,Social Media
Paragraph,Print Materials
Paragraph,Naming
Paragraph,Copywriting
Paragraph,Logo
Paragraph,key visual
Paragraph,Web design
Paragraph,Landing Pages
Paragraph,No-code web development
Paragraph,Pitch Decks
Paragraph,Brand Guides
Paragraph,"Since 2010 I have been working closely with my clients,building long-lasting and trusted relationships.Many thanks to"
Paragraph,Tonik.com
Paragraph,Wills Integrated
Paragraph,Seiberthead
Paragraph,Highlite PR
Paragraph,Komunikacja+
Paragraph,& more
Paragraph,Tomasz ChoÅast
Paragraph,Marketing Manager Unit4 Polska
Paragraph,Jacek Jankowski
Paragraph,Owner of Propertier
Paragraph,Anna Kominek
Paragraph,Director at EcoMS
Paragraph,Krzysztof Adamski
Paragraph,CEO at Donateo
Paragraph,Marcin SzlÄzak
Paragraph,Founder of Martinâs School
Paragraph,Ewa BaÅys
Paragraph,Marketing Specialist at Starbucks Poland
Paragraph,Anna Kominek
Paragraph,Director at EcoMS
Paragraph,Ewa BaÅys
Paragraph,Marketing Specialist at Starbucks Poland
Paragraph,Tomasz ChoÅast
Paragraph,Marketing Manager Unit4 Polska
Paragraph,Jacek Jankowski
Paragraph,Owner of Propertier
Paragraph,Marcin SzlÄzak
Paragraph,Founder of Martinâs School
Paragraph,Krzysztof Adamski
Paragraph,CEO at Donateo
Paragraph,Nomiddlemen.
Paragraph,justresults.
Paragraph,click to find out
Paragraph,"Hi!My name isMagdalena Fudali,I have over 15 years of experience specializing in brand and digital"
Paragraph,design.Full bio on
Paragraph,Linkedin
Paragraph,"Being fortunate enough to run my own studio, I chose to focus my projects aroundpartnership, friendly communication and transparency.If these values resonate with you,"
Paragraph,Iâll be happy to
Paragraph,Talk
Paragraph,What drives me most is seeing my clients' businesses grow through effective design solutions.
Paragraph,close
Paragraph,click to find out
Paragraph,"Hi!My name isMagdalena Fudali,I have over 15 years of experience specializing in brand and digital"
Paragraph,design.Full bio on
Paragraph,Linkedin
Paragraph,"Being fortunate enough to run my own studio, I chose to focus my projects aroundpartnership, friendly communication and transparency.If these values resonate with you,"
Paragraph,Iâll be happy to
Paragraph,Talk
Paragraph,What drives me most is seeing my clients' businesses grow through effective design solutions.
Paragraph,close
Paragraph,click to find out
Paragraph,"Hi!My name isMagdalena Fudali,I have over 15 years of experience specializing in brand and digital"
Paragraph,design.Full bio on
Paragraph,Linkedin
Paragraph,"Being fortunate enough to run my own studio, I chose to focus my projects aroundpartnership, friendly communication and transparency.If these values resonate with you,"
Paragraph,Iâll be happy to
Paragraph,Talk
Paragraph,What drives me most is seeing my clients' businesses grow through effective design solutions.
Paragraph,close
Paragraph,"If you still have questions,feel free toAsk Me."
Paragraph,See 4 more answers
Paragraph,See 4 more answers
Paragraph,Go to top
Paragraph,Book a 30-min call with
Paragraph,Magda
Paragraph,What happens during the call?
Paragraph,Prefer email? Drop me a message at
Paragraph,hi@fudali.studio
Paragraph,Copied
Paragraph,"Based in WrocÅaw, Poland GMT+1"
Paragraph,Based in Poland. GMT+1
Paragraph,â Magdalena Fudali
Paragraph,Visit my LinkedIn
Paragraph,"Naming, Branding, Website Design, social media"
Paragraph,"brand built 
from scratch"
Paragraph,"weeks for naming 
& branding"
Paragraph,"rebranding, website redesign, icon design"
Paragraph,"weeks for logo 
& key visual"
Paragraph,of secured EU funding
Paragraph,"Rebranding, Copywriting, Pitch deck"
Paragraph,weeks for rebranding
Paragraph,of funding collected subsequently
Paragraph,"UX/UI design, Icon Design, prototyping"
Paragraph,complete ordering process designed
Paragraph,screens designed for developement
Paragraph,"Branding, website redesign, UI direction"
Paragraph,weeks for new UI design concept
Paragraph,"master designs 
for IdoSell Team"
List,4 ÃBehance badgesfor UX/UI & Brand Expertise | 2 ÃRE:PLBest Polish RebrandingTop 10 Finalist | 1 ÃBrandNewLogomark Spotted
List,4 ÃBehance badgesfor UX/UI & Brand Expertise | 2 ÃRE:PLBest Polish RebrandingTop 10 Finalist | 1 ÃBrandNewLogomark Spotted
List,4 ÃBehance badgesfor UX/UI & Brand Expertise | 2 ÃRE:PLBest Polish RebrandingTop 10 Finalist | 1 ÃBrandNewLogomark Spotted
List,4 ÃBehance badgesfor UX/UI & Brand Expertise | 2 ÃRE:PLBest Polish RebrandingTop 10 Finalist | 1 ÃBrandNewLogomark Spotted
List,"Branding, website redesign, UI directionUnleashing the power of an updated e-commerce platform2weeks for new UI design concept15master designs 
for IdoSell Team | Rebranding, Copywriting, Pitch deckGetting most out of a founding round by looking 10x bigger4weeks for rebranding$3Mof funding collected subsequently | UX/UI design, Icon Design, prototypingNew in-store ordering experience for a global brand100%complete ordering process designed54screens designed for developement | rebranding, website redesign, icon designSecuring EU funding for market expansion, fast!4weeks for logo 
& key visual$0.8Mof secured EU funding | Naming, Branding, Website Design, social mediaHome brokerâs personal brand built on vision and courage0 to 1brand built 
from scratch6weeks for naming 
& branding"
List,Logo | key visual | Web design | Landing Pages | No-code web development | Pitch Decks | Brand Guides | Design Audit | Editorial Design | Design Systems | Icons | Social Media | Print Materials | Naming | Copywriting
List,Design Audit | Editorial Design | Design Systems | Icons | Social Media | Print Materials | Naming | Copywriting
List,Logo | key visual | Web design | Landing Pages | No-code web development | Pitch Decks | Brand Guides
List, |  |  |  |  |  |  | 
List, |  |  | 
List,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time.Tomasz ChoÅastMarketing Manager Unit4 Polska | Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth.Jacek JankowskiOwner of Propertier | We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable.Anna KominekDirector at EcoMS | Working with Magda is an absolute pleasureâshe'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths.Krzysztof AdamskiCEO at Donateo | I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.Marcin SzlÄzakFounder of Martinâs School | Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals.Ewa BaÅysMarketing Specialist at Starbucks Poland"
List,"We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable.Anna KominekDirector at EcoMS | Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals.Ewa BaÅysMarketing Specialist at Starbucks Poland | Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time.Tomasz ChoÅastMarketing Manager Unit4 Polska | Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth.Jacek JankowskiOwner of Propertier | I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.Marcin SzlÄzakFounder of Martinâs School | Working with Magda is an absolute pleasureâshe'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths.Krzysztof AdamskiCEO at Donateo"
Link,Let's Talk -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Let's Talk -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,View Projects -> https://fudali.studio/#works
Link,Explore Services -> https://fudali.studio/#services
Link,View Projects -> https://fudali.studio/#works-t
Link,Explore Services -> https://fudali.studio/#services
Link,View Projects -> https://fudali.studio/#works-m
Link,Explore Services -> https://fudali.studio/#services
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.underconsideration.com/brandnew/archives/new_logo_and_identity_for_3_kiwi_baby_by_nuo.php
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.underconsideration.com/brandnew/archives/new_logo_and_identity_for_3_kiwi_baby_by_nuo.php
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.underconsideration.com/brandnew/archives/new_logo_and_identity_for_3_kiwi_baby_by_nuo.php
Link,4 ÃBehance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ÃRE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ÃBrandNewLogomark Spotted -> https://www.underconsideration.com/brandnew/archives/new_logo_and_identity_for_3_kiwi_baby_by_nuo.php
Link,Book a 30-min intro call -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min intro call -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a free intro call -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a free intro call -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a free call -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,CEO at Donateo -> https://www.linkedin.com/in/krzysztof-adamski
Link,Marcin SzlÄzak -> https://www.linkedin.com/in/marcin-szl%C4%85zak
Link,Marcin SzlÄzak -> https://www.linkedin.com/in/marcin-szl%C4%85zak
Link,CEO at Donateo -> https://www.linkedin.com/in/krzysztof-adamski
Link,Ask Me -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Go to top -> https://fudali.studio/#top
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Book a 30-min call withMagda -> https://calendar.google.com/calendar/u/0/appointments/schedules/AcZssZ2I_v4dQnGopA5o73gdyoWv4COd-9eYJSdSZewjiwi2BdMnrBY7fzSIw1Qbg3wRFJLQuRjB-Uq9
Link,Visit my LinkedIn -> https://www.linkedin.com/in/magdalena-fudali-536225a4/
Image, -> https://framerusercontent.com/images/XTVEugPwvzlNYp700hZaD6wIU.png
Image, -> https://framerusercontent.com/images/XTVEugPwvzlNYp700hZaD6wIU.png
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/YvSmvMaLUxLMqzaqCGThLqUUU.png?width=336&height=297
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/cT0cT9yvUchjbNHlVn9HoW7Rgp8.png?width=504&height=407
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/uDKdYCqiLBjzjzrDdXNiB1iUxg.png?width=504&height=482
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/QePaoyyX8JA6nqgVJd1Et3SXigY.png?width=504&height=378
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/mlcuZ03WNDvjPHHFrVoy9ZNJ05M.png?width=504&height=383
Image,prpojektowanie stron wroclaw -> https://framerusercontent.com/images/YSjmziLydMhqtNOkt4IgLMAWos.png?width=504&height=569
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/YvSmvMaLUxLMqzaqCGThLqUUU.png?width=336&height=297
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/cT0cT9yvUchjbNHlVn9HoW7Rgp8.png?width=504&height=407
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/uDKdYCqiLBjzjzrDdXNiB1iUxg.png?width=504&height=482
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/QePaoyyX8JA6nqgVJd1Et3SXigY.png?width=504&height=378
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/mlcuZ03WNDvjPHHFrVoy9ZNJ05M.png?width=504&height=383
Image,prpojektowanie stron wroclaw -> https://framerusercontent.com/images/YSjmziLydMhqtNOkt4IgLMAWos.png?width=504&height=569
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/TqPjJV3Y4uYsNEr1NEWO56TdNbk.png?width=504&height=378
Image,branding wroclaw -> https://framerusercontent.com/images/cZRdgnvRgk2RmsiQjCIcfYOEk9s.png?width=504&height=380
Image,studio brandingowe wroclaw -> https://framerusercontent.com/images/ZgchXJdDeoFX3lh9jqCSngH6dIg.png?width=504&height=366
