Type,Content
H6,"Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals."
H6,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time."
H6,"Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth."
H6,"We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable."
H6,"Working with Magda is an absolute pleasure—she'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths."
H6,I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.
H6,"Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals."
H6,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time."
H6,"Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth."
H6,"We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable."
H6,"Working with Magda is an absolute pleasure—she'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths."
H6,I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.
H6,"Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals."
H6,Who is the designer?
H6,Why wouldn't I just hire an agency or a full-time designer?
H6,How much does it cost to work with you? Is there a minimum budget?
H6,What does your design process look like?
H6,What sets my design approach apart from other freelance designers?
Paragraph,Let's Talk
Paragraph,Awards & Recognition
Paragraph,4 ×
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 ×
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 ×
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,View Projects
Paragraph,or
Paragraph,Explore Services
Paragraph,Recognition
Paragraph,4 ×
Paragraph,Behance badges
Paragraph,for UX/UI & Brand Expertise
Paragraph,2 ×
Paragraph,RE:PL
Paragraph,Best Polish Rebranding
Paragraph,Top 10 Finalist
Paragraph,1 ×
Paragraph,BrandNew
Paragraph,Logomark Spotted
Paragraph,Book a 30-min intro call
Paragraph,"rebranding, website redesign, UI direction"
Paragraph,weeks for new UI design concept
Paragraph,"master designs 
for IdoSell Team"
Paragraph,"Rebranding, Copywriting, Pitch deck"
Paragraph,weeks for rebranding
Paragraph,of funding collected subsequently
Paragraph,"UX/UI design, Icon Design, prototyping"
Paragraph,complete ordering process designed
Paragraph,screens designed for developement
Paragraph,"rebranding, website redesign, icon design"
Paragraph,"weeks for logo 
& key visual"
Paragraph,of secured EU funding
Paragraph,"Naming, logo, Branding, Website Design, social media"
Paragraph,"brand built 
from scratch"
Paragraph,"weeks for naming 
& branding"
Paragraph,Book a 30-min call with
Paragraph,Magda
Paragraph,For inventors & founders
Paragraph,Bring ideas to life with designs that drive results.
Paragraph,"Maximize business potential through strategic, user-centered design."
Paragraph,Move seamlessly from concept to MVP and scalable products.
Paragraph,For established companies
Paragraph,Refresh & relaunch existing product.
Paragraph,Design support for both long-term strategies and urgent needs.
Paragraph,Cross-platform solutions from web to print.
Paragraph,FOR YOUNG START-UPS
Paragraph,4 weeks
Paragraph,It all begins with a no-stress chat to discuss your goals.
Paragraph,I analyse your brand and plan a custom roadmap. We define a design solution that has best value for you.
Paragraph,Time to design and ask for feedback. I lock in and work.
Paragraph,Your priority brand asset ready for immediate use.
Paragraph,Logo
Paragraph,key visual
Paragraph,Web design
Paragraph,Landing Pages
Paragraph,No-code web development
Paragraph,Pitch Decks
Paragraph,Brand Guides
Paragraph,Design Audit
Paragraph,Editorial Design
Paragraph,Design Systems
Paragraph,Icons
Paragraph,Social Media
Paragraph,Print Materials
Paragraph,Naming
Paragraph,Copywriting
Paragraph,"Since 2010 I have been working closely with my clients,building long-lasting and trusted relationships.Many thanks to"
Paragraph,Tonik.com
Paragraph,Wills Integrated
Paragraph,Seiberthead
Paragraph,Highlite PR
Paragraph,Komunikacja+
Paragraph,& more
Paragraph,Tomasz Chołast
Paragraph,Marketing Manager Unit4 Polska
Paragraph,Jacek Jankowski
Paragraph,Owner of Propertier
Paragraph,Anna Kominek
Paragraph,Director at EcoMS
Paragraph,Krzysztof Adamski
Paragraph,CEO at Donateo
Paragraph,Marcin Szlązak
Paragraph,Founder of Martin’s School
Paragraph,Ewa Bałys
Paragraph,Marketing Specialist at Starbucks Poland
Paragraph,Tomasz Chołast
Paragraph,Marketing Manager Unit4 Polska
Paragraph,Jacek Jankowski
Paragraph,Owner of Propertier
Paragraph,Anna Kominek
Paragraph,Director at EcoMS
Paragraph,Krzysztof Adamski
Paragraph,CEO at Donateo
Paragraph,Marcin Szlązak
Paragraph,Founder of Martin’s School
Paragraph,Ewa Bałys
Paragraph,Marketing Specialist at Starbucks Poland
Paragraph,Tomasz Chołast
Paragraph,Marketing Manager Unit4 Polska
Paragraph,Jacek Jankowski
Paragraph,Owner of Propertier
Paragraph,Anna Kominek
Paragraph,Director at EcoMS
Paragraph,Krzysztof Adamski
Paragraph,CEO at Donateo
Paragraph,Marcin Szlązak
Paragraph,Founder of Martin’s School
Paragraph,Ewa Bałys
Paragraph,Marketing Specialist at Starbucks Poland
Paragraph,Nomiddlemen.
Paragraph,justresults.
Paragraph,click to find out
Paragraph,"Hi!My name isMagdalena Fudali,I have over 15 years of experience specializing in brand and digital"
Paragraph,design.Full bio on
Paragraph,Linkedin
Paragraph,"Being fortunate enough to run my own studio, I chose to focus my projects aroundpartnership, friendly communication and transparency.If these values resonate with you,"
Paragraph,I’ll be happy to
Paragraph,Talk
Paragraph,What drives me most is seeing my clients' businesses grow through effective design solutions.
Paragraph,close
Paragraph,"If you still have questions,feel free toAsk Me."
Paragraph,See 4 more answers
Paragraph,Go to top
Paragraph,What happens during the call?
Paragraph,Prefer email? Drop me a message at
Paragraph,hi@fudali.studio
Paragraph,Copied
Paragraph,"Based in Wrocław, Poland GMT+1"
Paragraph,ⓒ Magdalena Fudali
Paragraph,Visit my LinkedIn
Paragraph,This website usescookies.
List,Logo | key visual | Web design | Landing Pages | No-code web development | Pitch Decks | Brand Guides | Design Audit | Editorial Design | Design Systems | Icons | Social Media | Print Materials | Naming | Copywriting
List, |  |  |  |  |  |  | 
List,"Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time.Tomasz ChołastMarketing Manager Unit4 Polska | Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth.Jacek JankowskiOwner of Propertier | We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable.Anna KominekDirector at EcoMS | Working with Magda is an absolute pleasure—she'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths.Krzysztof AdamskiCEO at Donateo | I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.Marcin SzlązakFounder of Martin’s School | Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals.Ewa BałysMarketing Specialist at Starbucks Poland | Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time.Tomasz ChołastMarketing Manager Unit4 Polska | Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth.Jacek JankowskiOwner of Propertier | We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable.Anna KominekDirector at EcoMS | Working with Magda is an absolute pleasure—she'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths.Krzysztof AdamskiCEO at Donateo | I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.Marcin SzlązakFounder of Martin’s School | Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals.Ewa BałysMarketing Specialist at Starbucks Poland | Magda has the ability tounderstand client needsquickly and accurately, and thendeliver high-level projects on time.Tomasz ChołastMarketing Manager Unit4 Polska | Working with Magda was agame-changer for my business. Her clear, strategic branding connected with my ideal clientele,resulting in faster business growth.Jacek JankowskiOwner of Propertier | We have been working with Magda for 15 years.We can always count on creativity, fresh ideas, and understanding of who we are and how it should be reflected in our image. We can also count onpatience during project discussions,which is invaluable.Anna KominekDirector at EcoMS | Working with Magda is an absolute pleasure—she'sfriendly, straightforward, and incredibly responsive.She always reacts quickly, delivering projects at high speed without compromising quality. Herfast-paced work style is one of her greatest strengths.Krzysztof AdamskiCEO at Donateo | I highly recommend Magda for her impressivespeed and efficiency in delivering high-quality workusing Framer. Her ability tounderstand and execute ideas rapidlyhas been invaluable for our project.Marcin SzlązakFounder of Martin’s School | Magda stands out for herexcellent ongoing communication with clients,her strong commitment to understanding their needs, and her highawareness of the company's business goals.Ewa BałysMarketing Specialist at Starbucks Poland"
Link,Let's Talk -> #
Link,4 ×Behance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ×RE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ×BrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,View Projects -> https://fudali.studio/?ref=killerportfolio#works
Link,Explore Services -> https://fudali.studio/?ref=killerportfolio#services
Link,4 ×Behance badgesfor UX/UI & Brand Expertise -> https://www.behance.net/fudali
Link,2 ×RE:PLBest Polish RebrandingTop 10 Finalist -> https://www.facebook.com/story.php/?story_fbid=1848275645217576&id=1701597263218749&_rdr
Link,1 ×BrandNewLogomark Spotted -> https://www.behance.net/fudali
Link,Book a 30-min intro call -> #
Link,Book a 30-min call withMagda -> #
Link,Book a free intro call -> #
Link,CEO at Donateo -> https://www.linkedin.com/in/krzysztof-adamski
Link,Marcin Szlązak -> https://www.linkedin.com/in/marcin-szl%C4%85zak
Link,CEO at Donateo -> https://www.linkedin.com/in/krzysztof-adamski
Link,Marcin Szlązak -> https://www.linkedin.com/in/marcin-szl%C4%85zak
Link,CEO at Donateo -> https://www.linkedin.com/in/krzysztof-adamski
Link,Marcin Szlązak -> https://www.linkedin.com/in/marcin-szl%C4%85zak
Link,Ask Me -> #
Link,Go to top -> https://fudali.studio/?ref=killerportfolio#top
Link,Book a 30-min call withMagda -> #
Link,Visit my LinkedIn -> https://www.linkedin.com/in/magdalena-fudali-536225a4/
Link,cookies -> https://www.framer.com/legal/cookie-policy/
Image, -> https://framerusercontent.com/images/XTVEugPwvzlNYp700hZaD6wIU.png
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/YvSmvMaLUxLMqzaqCGThLqUUU.png?width=336&height=297
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/cT0cT9yvUchjbNHlVn9HoW7Rgp8.png?width=504&height=407
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/uDKdYCqiLBjzjzrDdXNiB1iUxg.png?width=504&height=482
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/QePaoyyX8JA6nqgVJd1Et3SXigY.png?width=504&height=378
Image,agencja brandingowa wroclaw -> https://framerusercontent.com/images/mlcuZ03WNDvjPHHFrVoy9ZNJ05M.png?width=504&height=383
Image,prpojektowanie stron wroclaw -> https://framerusercontent.com/images/YSjmziLydMhqtNOkt4IgLMAWos.png?width=504&height=569
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/TqPjJV3Y4uYsNEr1NEWO56TdNbk.png?width=504&height=378
Image,branding wroclaw -> https://framerusercontent.com/images/cZRdgnvRgk2RmsiQjCIcfYOEk9s.png?width=504&height=380
Image,studio brandingowe wroclaw -> https://framerusercontent.com/images/ZgchXJdDeoFX3lh9jqCSngH6dIg.png?width=504&height=366
Image,identyfikacja wizualna wroclaw -> https://framerusercontent.com/images/qdcbXb1hC1ucQOVHJSyxMWcXK0Y.png?width=504&height=386
Image,obsluga graficzna firm wroclaw -> https://framerusercontent.com/images/G55BXqbwi8wVDW0C1WErDV612sA.png?width=504&height=507
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/NhwqWAX2uP4SQyVI1DEJVOOhwM.png?width=672&height=431
Image,projektowanie stron www wroclaw -> https://framerusercontent.com/images/Bm2DT8EusHldpSW8kPZYFfQBQDs.png?width=629&height=658
Image,rebranding wroclaw -> https://framerusercontent.com/images/SEsexjw97VmUMqhnTbz6mEzIdw.png
Image,studio brandingowe wrocław -> https://framerusercontent.com/images/lFeIUSXogSFuQPXAt762x1POQSM.png
Image,strony www wroclaw -> https://framerusercontent.com/images/pNrIVe8nwek6peMshyb0o64.png
Image,strony www wroclaw -> https://framerusercontent.com/images/VOJEmlwQ8UMYg1e83V1UiQs4.png
Image,brandign nieruchomosci wroclaw -> https://framerusercontent.com/images/SkObN79xqcdSJrcrgGiPj2DSxpE.png
Image, -> https://framerusercontent.com/images/XTVEugPwvzlNYp700hZaD6wIU.png?width=160&height=160
Image, -> https://framerusercontent.com/images/CoZBHEPqapF2VeCBBYemWnuy9QM.svg?width=89&height=89
Image, -> https://framerusercontent.com/images/a2RFPKWi6b0tP1d0dIyrUnqB5E.svg?width=88&height=27
Image, -> https://framerusercontent.com/images/3lMiSM9R3ggUKxWukOdCGZf3MWg.svg?width=180&height=40
Image, -> https://framerusercontent.com/images/6CPHtZ58MubKdC0NvrpOm3A2eE.svg?width=417&height=134
Image, -> https://framerusercontent.com/images/PwHbv01w3rHgUtHpuzWoOexgGjU.svg?width=70&height=70
Image, -> https://framerusercontent.com/images/VYLjsYIIYJZ3skx9SBjytTI0GSk.svg?width=58&height=66
Image, -> https://framerusercontent.com/images/Tof9SpYQ9chXK4SDEbSPhuNCPE.svg?width=88&height=14
Image, -> https://framerusercontent.com/images/V9JioMnMhYbEyqOhCPTtJMP5dI.svg?width=125&height=125
Image, -> https://framerusercontent.com/images/8X2vzbBia6KdvsDhLXCFqhU20.png
Image, -> https://framerusercontent.com/images/XTVEugPwvzlNYp700hZaD6wIU.png?width=160&height=160
